('g1_A', 'red') - ('g1_A', 'green'), 14.4853
('g1_A', 'green') - ('g1_A', 'red'), 14.4853
('g1_A', 'red') - ('g1_A', 'white'), 14.4853
('g1_A', 'white') - ('g1_A', 'red'), 14.4853
('g1_A', 'red') - ('g1_A', 'blue'), 20.5407
('g1_A', 'blue') - ('g1_A', 'red'), 20.5407
('g1_A', 'red') - ('g1_B', 'red'), 89.0893
('g1_B', 'red') - ('g1_A', 'red'), 89.0893
('g1_A', 'red') - ('g1_B', 'green'), 90.9107
('g1_B', 'green') - ('g1_A', 'red'), 90.9107
('g1_A', 'red') - ('g1_B', 'white'), 103.4272
('g1_B', 'white') - ('g1_A', 'red'), 103.4272
('g1_A', 'red') - ('g1_B', 'blue'), 105.3074
('g1_B', 'blue') - ('g1_A', 'red'), 105.3074
('g1_A', 'red') - ('g2_A', 'red'), 32.6743
('g2_A', 'red') - ('g1_A', 'red'), 32.6743
('g1_A', 'red') - ('g2_A', 'green'), 45.6274
('g2_A', 'green') - ('g1_A', 'red'), 45.6274
('g1_A', 'red') - ('g2_A', 'white'), 41.6520
('g2_A', 'white') - ('g1_A', 'red'), 41.6520
('g1_A', 'red') - ('g2_A', 'blue'), 52.7881
('g2_A', 'blue') - ('g1_A', 'red'), 52.7881
('g1_A', 'red') - ('g2_B', 'red'), 65.1233
('g2_B', 'red') - ('g1_A', 'red'), 65.1233
('g1_A', 'red') - ('g2_B', 'green'), 73.8450
('g2_B', 'green') - ('g1_A', 'red'), 73.8450
('g1_A', 'red') - ('g2_B', 'white'), 77.1292
('g2_B', 'white') - ('g1_A', 'red'), 77.1292
('g1_A', 'red') - ('g2_B', 'blue'), 85.3929
('g2_B', 'blue') - ('g1_A', 'red'), 85.3929
('g1_A', 'red') - ('g2_C', 'red'), 101.8367
('g2_C', 'red') - ('g1_A', 'red'), 101.8367
('g1_A', 'red') - ('g2_C', 'green'), 110.3377
('g2_C', 'green') - ('g1_A', 'red'), 110.3377
('g1_A', 'red') - ('g2_C', 'white'), 112.9830
('g2_C', 'white') - ('g1_A', 'red'), 112.9830
('g1_A', 'red') - ('g2_C', 'blue'), 122.2008
('g2_C', 'blue') - ('g1_A', 'red'), 122.2008
('g1_A', 'red') - ('g3_A', 'red'), 72.2101
('g3_A', 'red') - ('g1_A', 'red'), 72.2101
('g1_A', 'red') - ('g3_A', 'green'), 76.0345
('g3_A', 'green') - ('g1_A', 'red'), 76.0345
('g1_A', 'red') - ('g3_A', 'white'), 86.2808
('g3_A', 'white') - ('g1_A', 'red'), 86.2808
('g1_A', 'red') - ('g3_A', 'blue'), 89.9611
('g3_A', 'blue') - ('g1_A', 'red'), 89.9611
('g1_A', 'red') - ('g3_B', 'red'), 115.1364
('g3_B', 'red') - ('g1_A', 'red'), 115.1364
('g1_A', 'red') - ('g3_B', 'green'), 119.2726
('g3_B', 'green') - ('g1_A', 'red'), 119.2726
('g1_A', 'red') - ('g3_B', 'white'), 128.5128
('g3_B', 'white') - ('g1_A', 'red'), 128.5128
('g1_A', 'red') - ('g3_B', 'blue'), 133.3835
('g3_B', 'blue') - ('g1_A', 'red'), 133.3835
('g1_A', 'red') - ('g3_C', 'red'), 152.5545
('g3_C', 'red') - ('g1_A', 'red'), 152.5545
('g1_A', 'red') - ('g3_C', 'green'), 162.1084
('g3_C', 'green') - ('g1_A', 'red'), 162.1084
('g1_A', 'red') - ('g3_C', 'white'), 157.9235
('g3_C', 'white') - ('g1_A', 'red'), 157.9235
('g1_A', 'red') - ('g3_C', 'blue'), 172.2526
('g3_C', 'blue') - ('g1_A', 'red'), 172.2526
('g1_A', 'red') - ('g4_A', 'red'), 67.0170
('g4_A', 'red') - ('g1_A', 'red'), 67.0170
('g1_A', 'red') - ('g4_A', 'green'), 57.7992
('g4_A', 'green') - ('g1_A', 'red'), 57.7992
('g1_A', 'red') - ('g4_A', 'white'), 78.1633
('g4_A', 'white') - ('g1_A', 'red'), 78.1633
('g1_A', 'red') - ('g4_A', 'blue'), 69.6623
('g4_A', 'blue') - ('g1_A', 'red'), 69.6623
('g1_A', 'red') - ('g4_B', 'red'), 102.8708
('g4_B', 'red') - ('g1_A', 'red'), 102.8708
('g1_A', 'red') - ('g4_B', 'green'), 94.6071
('g4_B', 'green') - ('g1_A', 'red'), 94.6071
('g1_A', 'red') - ('g4_B', 'white'), 114.8767
